Year,Distance,Engine_capacity(cm3),Price(euro),Style_ID,Transmission_ID,Fuel_type_ID
2004.0,183454,1300.0,2500.0,2,2,3
2008.0,104000,1746.0,7535.0,7,1,3
2006.0,119000,1600.0,5700.0,1,1,3
2007.0,283000,1300.0,3499.0,1,2,2
2017.0,146000,1800.0,11900.0,1,1,1
2008.0,202000,1990.0,7100.0,7,2,3
2016.0,141000,1500.0,9000.0,3,2,2
2013.0,220000,1500.0,5000.0,8,2,2
2008.0,232012,1500.0,3700.0,1,2,2
2018.0,38999,2000.0,24800.0,4,1,2
2014.0,219000,1500.0,10999.0,7,2,2
2007.0,300000,2200.0,9200.0,4,1,2
2008.0,300000,1746.0,7535.0,5,2,4
2011.0,121000,1800.0,7900.0,1,1,1
2004.0,250000,1500.0,4000.0,2,2,2
2002.0,11111111,2000.0,3700.0,8,2,4
2014.0,200000,1390.0,8600.0,2,2,2
2013.0,143000,2000.0,17850.0,4,1,3
2013.0,174000,2000.0,9650.0,2,2,2
2011.0,121000,1800.0,7900.0,1,1,1
2004.0,250000,1500.0,4000.0,2,2,2
2002.0,11111111,2000.0,3700.0,8,2,4
2014.0,200000,1390.0,8600.0,2,2,2
2013.0,143000,2000.0,17850.0,4,1,3
2013.0,174000,2000.0,9650.0,2,3,2
2009.0,200000,1400.0,4800.0,2,2,3
1994.0,68204075,1800.0,1550.0,5,2,3
2007.0,137660,1500.0,6600.0,7,2,2
2011.0,213548,1300.0,5650.0,2,2,2
2006.0,193096,1500.0,3700.0,5,2,3
1992.0,400000,2000.0,1600.0,6,2,4
2016.0,150425,1500.0,14990.0,7,1,2
2018.0,105000,2000.0,15000.0,5,1,1
2000.0,191000,1800.0,3850.0,10,1,4
1998.0,129448,1600.0,2399.0,1,1,3
2015.0,168000,1600.0,18650.0,8,1,2
1994.0,180000,1600.0,2400.0,5,2,3
2016.0,0,1800.0,12350.0,1,1,1
2015.0,150000,1400.0,11000.0,7,1,3
2007.0,223000,2700.0,15000.0,4,1,2
2011.0,141000,1400.0,9800.0,2,2,3
2013.0,0,1500.0,7490.0,2,2,2
2008.0,250000,1922.0,4600.0,5,1,2
2006.0,250000,2200.0,9999.0,5,1,2
2011.0,176000,1300.0,6000.0,2,2,2
2008.0,275,2000.0,7999.0,2,1,3
2014.0,167000,1500.0,8600.0,2,1,2
2009.0,1,1600.0,3600.0,2,2,4
2008.0,387000,1746.0,7535.0,5,1,3
2008.0,180000,1746.0,7535.0,5,1,2
2006.0,170000,2000.0,2000.0,8,1,2
2013.0,178500,2200.0,15700.0,4,2,2
2012.0,265000,1800.0,8999.0,5,1,3
2002.0,331200,2200.0,6399.0,5,1,2
2017.0,120000,1999.0,23900.0,5,1,3
2011.0,123,2000.0,16600.0,5,1,2
2013.0,110000,1400.0,8000.0,5,1,1
2010.0,190000,2000.0,12000.0,9,1,2
2014.0,144947,1496.0,7499.0,1,1,1
2012.0,180000,1500.0,7499.0,2,2,2
2008.0,157000,1746.0,7535.0,4,1,3
2016.0,151130,1500.0,12499.0,5,2,2
2005.0,0,1400.0,3550.0,1,2,3
2006.0,170000,2000.0,2900.0,2,2,4
2011.0,155000,1600.0,9300.0,4,1,3
2011.0,116000,1400.0,7300.0,1,1,2
2007.0,185000,1500.0,3400.0,5,2,2
2015.0,124000,1600.0,13000.0,4,1,2
2015.0,222000,2000.0,17500.0,2,1,6
2016.0,133494,2494.0,21500.0,7,1,1
2008.0,250830,1746.0,7535.0,5,1,2
2011.0,1,2000.0,17500.0,5,1,2
2016.0,150000,1596.0,3200.0,5,2,4
2011.0,190000,1200.0,5100.0,2,2,2
2012.0,124000,1600.0,9999.0,7,1,3
1997.0,300000,1800.0,2700.0,5,1,4
2012.0,200000,1300.0,6000.0,2,2,2
2006.0,240000,1600.0,2700.0,2,2,2
2015.0,75000,2000.0,19000.0,5,1,3
2008.0,1563215,1746.0,7535.0,1,2,3
2008.0,1,1746.0,7535.0,8,2,2
2008.0,192000,1746.0,7535.0,4,2,2
2011.0,130000,1400.0,4700.0,1,2,4
2009.0,168,1400.0,7390.0,2,1,3
2004.0,79593986,1600.0,1050.0,1,2,3
2008.0,180000,1746.0,7535.0,4,1,3
2014.0,210000,1500.0,7199.0,2,2,2
2008.0,77000,1746.0,7535.0,5,1,2
2012.0,180000,2200.0,16750.0,4,1,2
2012.0,196000,1600.0,9950.0,5,2,2
2006.0,150,1600.0,1500.0,6,2,3
2009.0,168,1400.0,7390.0,2,1,3
2004.0,79593986,1600.0,1050.0,1,2,3
2008.0,180000,1746.0,7535.0,4,1,3
2014.0,210000,1500.0,7199.0,2,2,2
2015.0,159000,1996.0,20500.0,7,1,2
